iter	Passed	Remaining
222	4936	17199
223	4954	17163
224	4974	17133
225	4996	17111
226	5015	17079
227	5036	17052
228	5055	17022
229	5089	17037
230	5108	17006
231	5125	16965
232	5145	16937
233	5167	16917
234	5186	16884
235	5205	16851
236	5223	16816
237	5242	16786
238	5262	16757
239	5283	16729
240	5303	16701
241	5320	16664
242	5338	16630
243	5357	16599
244	5380	16579
245	5399	16549
246	5419	16521
247	5441	16498
248	5457	16459
249	5479	16438
250	5498	16408
251	5517	16377
252	5536	16346
253	5554	16313
254	5578	16298
255	5598	16271
256	5617	16241
257	5637	16212
258	5656	16183
259	5673	16147
260	5693	16120
261	5713	16093
262	5731	16061
263	5750	16032
264	5773	16012
265	5815	16047
266	5841	16036
267	5863	16015
268	5883	15989
269	5909	15977
270	5933	15962
271	5961	15956
272	5986	15942
273	6009	15922
274	6031	15902
275	6054	15882
276	6076	15860
277	6097	15836
278	6121	15820
279	6144	15800
280	6170	15788
281	6191	15763
282	6211	15736
283	6235	15721
284	6257	15697
285	6281	15680
286	6302	15656
287	6324	15635
288	6342	15604
289	6362	15576
290	6381	15547
291	6403	15526
292	6422	15497
293	6440	15466
294	6458	15434
295	6479	15410
296	6497	15380
297	6517	15354
298	6537	15326
299	6557	15300
300	6576	15271
301	6597	15248
302	6615	15218
303	6638	15198
304	6657	15170
305	6674	15137
306	6690	15103
307	6712	15081
308	6735	15062
309	6754	15033
310	6776	15012
311	6795	14985
312	6817	14962
313	6836	14935
314	6858	14913
315	6881	14896
316	6902	14872
317	6925	14852
318	6946	14830
319	6965	14802
320	6985	14776
321	7007	14754
322	7027	14729
323	7046	14702
324	7063	14669
325	7084	14648
326	7105	14624
327	7127	14602
328	7145	14574
329	7164	14546
330	7187	14526
331	7207	14501
332	7226	14475
333	7245	14448
334	7267	14425
335	7287	14401
336	7307	14376
337	7326	14350
338	7346	14324
339	7372	14311
340	7391	14285
341	7412	14261
342	7432	14236
343	7450	14208
344	7467	14178
345	7485	14148
346	7507	14128
347	7524	14098
348	7546	14076
349	7563	14046
350	7584	14023
351	7602	13996
352	7621	13969
353	7640	13943
354	7661	13920
355	7679	13891
356	7697	13863
357	7716	13837
358	7731	13804
359	7748	13775
360	7763	13741
361	7782	13715
362	7799	13686
363	7817	13658
364	7836	13632
365	7854	13606
366	7878	13588
367	7896	13561
368	7922	13547
369	7941	13521
370	7966	13506
371	7985	13481
372	8005	13457
373	8024	13431
374	8042	13403
375	8060	13377
376	8080	13352
377	8097	13323
378	8117	13301
379	8140	13281
380	8155	13249
381	8178	13230
382	8194	13201
383	8216	13180
384	8233	13152
385	8250	13124
386	8265	13092
387	8286	13070
388	8301	13039
389	8322	13017
390	8345	12998
391	8361	12968
392	8381	12945
393	8397	12916
394	8417	12891
395	8432	12861
396	8454	12841
397	8477	12822
398	8493	12793
399	8512	12769
400	8527	12738
401	8544	12709
402	8564	12687
403	8583	12662
404	8598	12632
405	8617	12608
406	8633	12578
407	8647	12546
408	8668	12525
409	8687	12501
410	8703	12472
411	8719	12443
412	8734	12414
413	8751	12387
414	8768	12360
415	8784	12331
416	8799	12302
417	8813	12271
418	8828	12241
419	8841	12210
420	8858	12182
421	8872	12152
422	8889	12126
423	8913	12109
424	8942	12098
425	8961	12075
426	8979	12049
427	8996	12023
428	9014	11998
429	9032	11973
430	9047	11944
431	9066	11920
432	9081	11891
433	9095	11862
434	9109	11832
435	9127	11807
436	9143	11779
437	9160	11753
438	9178	11728
439	9194	11701
440	9210	11674
441	9231	11653
442	9248	11628
443	9263	11599
444	9281	11576
445	9302	11555
446	9318	11527
447	9331	11497
448	9355	11481
449	9369	11452
450	9390	11430
451	9407	11406
452	9424	11379
453	9439	11352
454	9458	11328
455	9475	11304
456	9490	11276
457	9505	11248
458	9522	11223
459	9537	11195
460	9557	11174
461	9571	11145
462	9586	11119
463	9602	11092
464	9622	11070
465	9635	11041
466	9653	11018
467	9667	10990
468	9681	10960
469	9699	10937
470	9714	10910
471	9731	10886
472	9746	10859
473	9759	10830
474	9772	10801
475	9785	10772
476	9799	10744
477	9813	10717
478	9827	10689
479	9840	10660
480	9853	10632
481	9866	10603
482	9879	10575
483	9895	10549
484	9911	10525
485	9926	10498
486	9946	10477
487	9965	10455
488	9977	10426
489	9991	10399
490	10011	10378
491	10024	10350
492	10040	10325
493	10059	10304
494	10073	10276
495	10085	10248
496	10102	10224
497	10120	10201
498	10132	10173
499	10146	10146
500	10165	10125
501	10184	10102
502	10200	10079
503	10215	10053
504	10232	10029
505	10254	10011
506	10268	9984
507	10282	9958
508	10302	9938
509	10319	9914
510	10339	9894
511	10360	9874
512	10375	9849
513	10390	9824
514	10408	9801
515	10431	9784
516	10445	9758
517	10466	9739
518	10481	9713
519	10495	9688
520	10512	9664
521	10526	9639
522	10540	9613
523	10555	9588
524	10569	9563
525	10583	9537
526	10597	9511
527	10611	9485
528	10625	9460
529	10639	9435
530	10652	9408
531	10665	9382
532	10678	9356
533	10692	9330
534	10705	9305
535	10718	9279
536	10732	9253
537	10745	9227
538	10758	9201
539	10771	9175
540	10784	9149
541	10796	9123
542	10809	9097
543	10821	9071
544	10846	9054
545	10859	9029
546	10876	9007
547	10895	8986
548	10908	8961
549	10930	8943
550	10954	8926
551	10974	8906
552	10986	8880
553	11005	8859
554	11019	8835
555	11033	8810
556	11051	8789
557	11068	8767
558	11082	8743
559	11097	8719
560	11110	8694
561	11127	8672
562	11146	8651
563	11159	8626
564	11176	8605
565	11189	8580
566	11202	8555
567	11214	8529
568	11227	8504
569	11240	8479
570	11255	8456
571	11267	8431
572	11278	8405
573	11294	8382
574	11307	8357
575	11326	8337
576	11342	8315
577	11355	8290
578	11367	8265
579	11386	8245
580	11398	8219
581	11408	8193
582	11420	8168
583	11433	8144
584	11444	8118
585	11455	8093
586	11467	8068
587	11478	8043
588	11491	8018
589	11503	7993
590	11513	7968
591	11525	7943
592	11538	7919
593	11556	7899
594	11570	7875
595	11587	7854
596	11602	7832
597	11616	7809
598	11634	7788
599	11649	7766
600	11666	7745
601	11684	7725
602	11700	7703
603	11715	7680
604	11726	7656
605	11738	7631
606	11751	7608
607	11766	7586
608	11779	7563
609	11796	7541
610	11814	7521
611	11826	7497
612	11843	7477
613	11856	7453
614	11875	7433
615	11887	7410
616	11899	7386
617	11915	7365
618	11932	7344
619	11946	7321
620	11961	7300
621	11979	7280
622	11992	7257
623	12004	7233
624	12017	7210
625	12031	7187
626	12052	7169
627	12073	7152
628	12086	7129
629	12106	7109
630	12122	7088
631	12133	7065
632	12146	7042
633	12164	7022
634	12177	6999
635	12195	6979
636	12218	6962
637	12232	6940
638	12251	6921
639	12265	6899
640	12278	6876
641	12298	6858
642	12317	6838
643	12333	6817
644	12353	6799
645	12374	6781
646	12389	6759
647	12408	6740
648	12423	6718
649	12441	6699
650	12455	6677
651	12478	6660
652	12491	6638
653	12509	6618
654	12523	6596
655	12548	6580
656	12563	6558
657	12582	6539
658	12595	6517
659	12609	6495
660	12628	6476
661	12642	6454
662	12661	6435
663	12675	6414
664	12694	6394
665	12707	6372
666	12729	6355
667	12746	6335
668	12760	6313
669	12780	6294
670	12794	6273
671	12809	6252
672	12827	6232
673	12845	6213
674	12860	6191
675	12875	6171
676	12895	6152
677	12914	6133
678	12928	6112
679	12942	6090
680	12963	6072
681	12982	6053
682	12998	6033
683	13020	6015
684	13037	5995
685	13051	5973
686	13065	5952
687	13078	5930
688	13094	5910
689	13109	5889
690	13123	5868
691	13137	5847
692	13150	5825
693	13162	5803
694	13175	5782
695	13187	5760
696	13200	5738
697	13212	5716
698	13224	5694
699	13237	5673
700	13250	5651
701	13266	5631
702	13278	5609
703	13291	5588
704	13307	5568
705	13325	5549
706	13343	5529
707	13355	5508
708	13373	5489
709	13387	5468
710	13402	5447
711	13414	5426
712	13433	5407
713	13450	5387
714	13467	5368
715	13482	5347
716	13496	5327
717	13509	5305
718	13527	5286
719	13544	5267
720	13558	5246
721	13576	5227
722	13589	5206
723	13607	5187
724	13620	5166
725	13634	5145
726	13649	5125
727	13663	5104
728	13681	5085
729	13696	5065
730	13713	5046
731	13725	5025
732	13743	5006
733	13760	4986
734	13776	4967
735	13790	4946
736	13808	4927
737	13820	4906
738	13833	4885
739	13850	4866
740	13863	4845
741	13877	4825
742	13891	4804
743	13905	4784
744	13939	4771
745	13951	4750
746	13971	4731
747	13987	4712
748	14009	4694
749	14025	4675
750	14049	4658
751	14065	4638
752	14092	4622
753	14119	4606
754	14144	4589
755	14166	4572
756	14210	4561
757	14233	4544
758	14252	4525
759	14272	4507
760	14288	4487
761	14317	4471
762	14334	4452
763	14348	4432
764	14367	4413
765	14383	4393
766	14404	4375
767	14433	4360
768	14470	4346
769	14511	4334
770	14556	4323
771	14586	4307
772	14620	4293
773	14643	4275
774	14665	4257
775	14687	4239
776	14711	4222
777	14730	4203
778	14752	4185
779	14779	4168
780	14803	4151
781	14831	4134
782	14853	4116
783	14880	4099
784	14901	4081
785	14927	4064
786	14947	4045
787	14968	4027
788	14989	4008
789	15056	4002
790	15115	3993
791	15143	3977
792	15164	3958
793	15191	3941
794	15214	3923
795	15246	3907
796	15276	3891
797	15300	3873
798	15330	3856
799	15355	3838
800	15377	3820
801	15398	3801
802	15416	3782
803	15441	3764
804	15461	3745
805	15480	3726
806	15505	3708
807	15524	3689
808	15540	3668
809	15560	3649
810	15575	3629
811	15594	3610
812	15608	3590
813	15623	3569
814	15641	3550
815	15658	3530
816	15673	3510
817	15687	3490
818	15703	3470
819	15718	3450
820	15733	3430
821	15748	3410
822	15762	3389
823	15775	3369
824	15794	3350
825	15811	3330
826	15877	3321
827	15925	3308
828	15958	3291
829	15974	3271
830	15993	3252
831	16010	3232
832	16026	3213
833	16047	3194
834	16063	3174
835	16082	3154
836	16101	3135
837	16119	3116
838	16137	3096
839	16150	3076
840	16169	3057
841	16182	3036
842	16196	3016
843	16214	2996
844	16235	2978
845	16248	2957
846	16262	2937
847	16278	2917
848	16303	2899
849	16323	2880
850	16339	2860
851	16358	2841
852	16378	2822
853	16393	2802
854	16408	2782
855	16426	2763
856	16441	2743
857	16461	2724
858	16481	2705
859	16494	2685
860	16509	2665
861	16523	2645
862	16542	2626
863	16623	2616
864	16659	2599
865	16682	2581
866	16697	2561
867	16719	2542
868	16742	2523
869	16757	2504
870	16772	2484
871	16790	2464
872	16804	2444
873	16820	2424
874	16835	2405
875	16849	2385
876	16863	2365
877	16877	2345
878	16891	2325
879	16904	2305
880	16918	2285
881	16933	2265
882	16948	2245
883	16964	2226
884	16984	2207
885	16999	2187
886	17021	2168
887	17038	2148
888	17060	2130
889	17082	2111
890	17100	2091
891	17118	2072
892	17140	2053
893	17155	2034
894	17174	2014
895	17188	1995
896	17206	1975
897	17223	1956
898	17242	1937
899	17262	1918
900	17284	1899
901	17303	1880
902	17322	1860
903	17341	1841
904	17360	1822
905	17379	1803
906	17398	1783
907	17416	1764
908	17430	1744
909	17448	1725
910	17467	1706
911	17485	1687
912	17503	1667
913	17521	1648
914	17541	1629
915	17559	1610
916	17576	1590
917	17594	1571
918	17613	1552
919	17632	1533
920	17648	1513
921	17669	1494
922	17685	1475
923	17705	1456
924	17725	1437
925	17745	1418
926	17763	1398
927	17781	1379
928	17800	1360
929	17817	1341
930	17836	1321
931	17854	1302
932	17873	1283
933	17892	1264
934	17910	1245
935	17925	1225
936	17943	1206
937	17961	1187
938	17977	1167
939	17992	1148
940	18010	1129
941	18026	1109
942	18040	1090
943	18058	1071
944	18077	1052
945	18092	1032
946	18110	1013
947	18128	994
948	18150	975
949	18170	956
950	18184	936
951	18198	917
952	18217	898
953	18235	879
954	18252	860
955	18269	840
956	18288	821
957	18304	802
958	18322	783
959	18338	764
960	18359	745
961	18382	726
962	18400	706
963	18421	687
964	18440	668
965	18461	649
966	18481	630
967	18501	611
968	18518	592
969	18539	573
970	18560	554
971	18579	535
972	18600	516
973	18622	497
974	18640	477
975	18662	458
976	18680	439
977	18701	420
978	18718	401
979	18736	382
980	18754	363
981	18774	344
982	18789	324
983	18807	305
984	18823	286
985	18845	267
986	18866	248
987	18883	229
988	18904	210
989	18920	191
990	18943	172
991	18961	152
992	18979	133
993	18998	114
994	19020	95
995	19040	76
996	19066	57
997	19089	38
998	19106	19
999	19125	0
